"filename", "language", "C++", "JSON", "YAML", "Markdown", "Swift", "Dart", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\custom_elevated_button.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 4, 53
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\custom_icon.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 2, 41
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\empty_custom.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\horizontal_line.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\page_view.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 1, 3, 54
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\pick_image.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 4, 73
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\sign_in_view.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\sign_up_view.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\card_type.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 4, 73
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\custom_text_from_felid.dart", "Dart", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 1, 3, 90
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\divider_with_text.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\pick_image_icon_with_title_and_subtitle.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 3, 46
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\pick_image_register_button.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_donot_have_an_account_section.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_email_and_password_fields.dart", "Dart", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_face_book_and_google_buttons.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 3, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_forget_password_button.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 2, 35
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_image_with_text.dart", "Dart", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_login_button.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_register_now_button.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_social_button.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 5, 46
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_up_all_fields.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_up_have_an_account_section.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 3, 38
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_up_next_button.dart", "Dart", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\terms_check.dart", "Dart", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 5, 76
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\views\main_screen.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 4, 53
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\main_header.dart", "Dart", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 5, 123
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\main_screen_location_icon_and_location_text.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\popular_vehicle_car_card_price.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\popular_vehicles_car_card.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 4, 73
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\popular_vehicles_car_card_car_type.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\popular_vehicles_car_card_name_with_rating.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 44
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\popular_vehicles_section.dart", "Dart", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 3, 73
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\vehicle_brand_card.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 2, 58
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\vehicle_brand_section.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\vehicle_type_card.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 2, 48
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\vehicles_brand_number_of_brands.dart", "Dart", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\vehicles_type_section.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\model\dummy.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 2, 48
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\views\all_messages_view.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\views\messages_view.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\views\no_messages_view.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\avatar_chat_view.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\chat_person.dart", "Dart", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 3, 78
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\message_app_bar_with_tab_bar.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\name_and_message_chat_view.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\time_and_number_of_msg_chat_view.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 2, 44
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\model\message.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\views\personal_chat_view.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 48
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\app_bar_personal_chat.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\app_bar_personal_message_section.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\chat_bubble_for_reciver.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 56
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\chat_bubble_for_sender.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 3, 57
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\image_and_name_person_message.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\message_text_field_with_attachment_button.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 3, 57
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\send_message_button.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 3, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\send_messages_with_attach_section.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\type_message_text_field_with_send_button.dart", "Dart", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\views\add_vehicle_screen.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\about_vehicle_section.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 3, 54
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\add_image_button.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 3, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\additional_image_button.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 3, 56
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\additional_image_list_view.dart", "Dart", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\input_name_with_input_field_section.dart", "Dart", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 2, 80
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\pick_color_and_seats_num_fields.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 3, 50
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\pick_main_image_button_content.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\pick_main_image_button_style.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 3, 50
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\properites_over_view_field.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\vehicle_images_section.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\vehicle_properites_section.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\views\notification_screen.dart", "Dart", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 4, 111
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\accept_or_feedback_button.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 36
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\deny_button.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 2, 38
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\notification_card.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\notification_card_content.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 49
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\notification_card_style.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 3, 51
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\notification_text_with_time_ago.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 4, 60
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\section_header.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\views\onboarding_view.dart", "Dart", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 5, 103
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\widgets\custom_page_view.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\widgets\next_and_back_button_widget.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\widgets\start_now_widget.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 4, 50
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\data\car_model.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\data\profile_model.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\views\profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 7, 115
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\car_item_widget.dart", "Dart", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 4, 100
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\custom_elevated_button.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\profile_tabs.dart", "Dart", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 9, 75
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\profile_widget.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\tab_button.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\views\settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 3, 55
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\arrow_forward_icon_button.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\contact_us_card.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 4, 50
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\custom_card_settings_page.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 3, 56
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\dark_mode_card.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\dark_mode_switch.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 3, 51
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\help_center_card.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\image_with_name_and_email_section.dart", "Dart", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\language_card.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 44
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\language_switch.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\logout_card.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\name_and_email_section.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\notification_settings_card.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\payment_card.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\personal_details_card.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\rent_history_card.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\settings_and_preferences_section.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 40
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\support_section.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\views\about_tab_bar_view.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\location_section.dart", "Dart", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 1, 3, 102
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\owner_image_section.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\owner_name_section.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 2, 3, 39
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\rent_partner_section.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 3, 48
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\views\properities_tab_bar_view.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 5, 50
