Date : 2025-03-29 19:38:11
Directory : e:\Projects\P_Android_save\flutter project\aggar
Total : 274 files,  13470 codes, 616 comments, 1461 blanks, all 15547 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\main_screen_location_icon_and_location_text.dart                                                 | Dart       |         30 |          0 |          3 |         33 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\main_screen_search_field.dart                                                                    | Dart       |         27 |          0 |          3 |         30 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\main_screen_search_field_with_filter_icon.dart                                                   | Dart       |         40 |          0 |          3 |         43 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\notification_icon_button.dart                                                                    | Dart       |         45 |          0 |          3 |         48 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\popular_vehicle_car_card_price.dart                                                              | Dart       |         30 |          0 |          4 |         34 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\popular_vehicles_car_card.dart                                                                   | Dart       |        124 |          0 |          5 |        129 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\popular_vehicles_car_card_car_type.dart                                                          | Dart       |         20 |          0 |          4 |         24 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\popular_vehicles_car_card_name_with_rating.dart                                                  | Dart       |         40 |          0 |          4 |         44 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\popular_vehicles_section.dart                                                                    | Dart       |         70 |          0 |          3 |         73 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\vehicle_brand_card.dart                                                                          | Dart       |         56 |          0 |          2 |         58 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\vehicle_brand_section.dart                                                                       | Dart       |         51 |          0 |          4 |         55 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\vehicle_type_card.dart                                                                           | Dart       |         46 |          0 |          2 |         48 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\vehicles_brand_number_of_brands.dart                                                             | Dart       |         28 |          0 |          4 |         32 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\vehicles_type_section.dart                                                                       | Dart       |         48 |          0 |          4 |         52 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\model\dummy.dart                                                                                                         | Dart       |         46 |          0 |          2 |         48 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\views\all_messages_view.dart                                                          | Dart       |         35 |          0 |          4 |         39 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\views\messages_view.dart                                                              | Dart       |         39 |          0 |          4 |         43 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\views\no_messages_view.dart                                                           | Dart       |         39 |          0 |          3 |         42 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\avatar_chat_view.dart                                                 | Dart       |         29 |          0 |          2 |         31 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\chat_person.dart                                                      | Dart       |         75 |          0 |          3 |         78 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\message_app_bar_with_tab_bar.dart                                     | Dart       |         34 |          0 |          3 |         37 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\name_and_message_chat_view.dart                                       | Dart       |         37 |          0 |          3 |         40 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\time_and_number_of_msg_chat_view.dart                                 | Dart       |         42 |          0 |          2 |         44 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\model\message.dart                                                                      | Dart       |          6 |          0 |          1 |          7 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\views\personal_chat_view.dart                                                           | Dart       |         45 |          0 |          3 |         48 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\app_bar_personal_chat.dart                                                      | Dart       |         35 |          0 |          4 |         39 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\app_bar_personal_message_section.dart                                           | Dart       |         38 |          0 |          4 |         42 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\chat_bubble_for_reciver.dart                                                    | Dart       |         54 |          0 |          2 |         56 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\chat_bubble_for_sender.dart                                                     | Dart       |         54 |          0 |          3 |         57 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\image_and_name_person_message.dart                                              | Dart       |         30 |          0 |          5 |         35 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\message_text_field_with_attachment_button.dart                                  | Dart       |         54 |          0 |          3 |         57 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\send_message_button.dart                                                        | Dart       |         42 |          0 |          3 |         45 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\send_messages_with_attach_section.dart                                          | Dart       |         15 |          0 |          3 |         18 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\type_message_text_field_with_send_button.dart                                   | Dart       |         22 |          0 |          3 |         25 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\cubits\add_vehicle_cubit\add_vehicle_cubit.dart                                                                  | Dart       |        262 |         38 |         29 |        329 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\cubits\add_vehicle_cubit\add_vehicle_state.dart                                                                  | Dart       |         45 |          0 |         22 |         67 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\cubits\additinal_images_cubit\additinal_images_cubit.dart                                                        | Dart       |         26 |          0 |          4 |         30 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\cubits\additinal_images_cubit\additinal_images_state.dart                                                        | Dart       |         21 |          0 |         12 |         33 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\cubits\main_image_cubit\main_image_cubit.dart                                                                    | Dart       |         19 |          0 |          4 |         23 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\cubits\main_image_cubit\main_image_state.dart                                                                    | Dart       |         21 |          0 |         12 |         33 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\cubits\map_location\map_location_cubit.dart                                                                      | Dart       |        214 |          1 |         28 |        243 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\cubits\map_location\map_location_state.dart                                                                      | Dart       |         89 |          0 |         17 |        106 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\cubits\vehicle_brand\vehicle_brand_cubit.dart                                                                    | Dart       |         36 |          0 |          4 |         40 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\cubits\vehicle_brand\vehicle_brand_state.dart                                                                    | Dart       |         14 |          0 |          8 |         22 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\cubits\vehicle_type\vehicle_type_cubit.dart                                                                      | Dart       |         37 |          1 |          2 |         40 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\cubits\vehicle_type\vehicle_type_state.dart                                                                      | Dart       |         14 |          0 |          8 |         22 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\model\dropbown_button.dart                                                                                       | Dart       |         47 |          0 |          3 |         50 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\model\location_model.dart                                                                                        | Dart       |         14 |          1 |          4 |         19 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\model\renter_model.dart                                                                                          | Dart       |         22 |          0 |          3 |         25 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\model\vehicle_brand_model.dart                                                                                   | Dart       |         21 |          0 |          4 |         25 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\model\vehicle_model.dart                                                                                         | Dart       |         84 |          1 |          5 |         90 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\data\model\vehicle_type_model.dart                                                                                    | Dart       |         18 |          0 |          4 |         22 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\views\add_vehicle_screen.dart                                                                            | Dart       |        142 |          7 |          6 |        155 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\about_vehicle_section.dart                                                                       | Dart       |        116 |          0 |          6 |        122 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\add_image_button.dart                                                                            | Dart       |         43 |          0 |          3 |         46 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\additional_image_button.dart                                                                     | Dart       |         56 |          0 |          3 |         59 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\additional_image_card.dart                                                                       | Dart       |         35 |          0 |          2 |         37 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\additional_image_card_network.dart                                                               | Dart       |         35 |          0 |          2 |         37 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\additional_image_list_view.dart                                                                  | Dart       |         63 |          0 |          8 |         71 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\address_search_bar.dart                                                                          | Dart       |         71 |          0 |          3 |         74 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\bottom_navigation_bar_content.dart                                                               | Dart       |         54 |          0 |          2 |         56 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\confirm_location_with_pick_current_location.dart                                                 | Dart       |         67 |          0 |          3 |         70 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\input_name_with_drop_down_list.dart                                                              | Dart       |        205 |          3 |         10 |        218 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\input_name_with_input_field_section.dart                                                         | Dart       |         96 |          1 |          4 |        101 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\main_image_card.dart                                                                             | Dart       |         32 |          1 |          4 |         37 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\map_screen.dart                                                                                  | Dart       |         68 |          0 |          8 |         76 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\pick_color_and_seats_num_fields.dart                                                             | Dart       |         48 |          0 |          2 |         50 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\pick_image_map.dart                                                                              | Dart       |         36 |          0 |          3 |         39 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\pick_location_on_map_button.dart                                                                 | Dart       |         69 |          0 |          4 |         73 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\pick_main_image_button_content.dart                                                              | Dart       |        107 |          0 |          3 |        110 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\pick_main_image_button_style.dart                                                                | Dart       |         50 |          0 |          3 |         53 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\properites_over_view_field.dart                                                                  | Dart       |         19 |          0 |          2 |         21 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\radio_buttons.dart                                                                               | Dart       |         72 |          0 |          4 |         76 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\rental_price_per_day_suffix_widget.dart                                                          | Dart       |         28 |          0 |          3 |         31 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\search_text_field.dart                                                                           | Dart       |         42 |          0 |          3 |         45 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\seats_number_suffix_widget.dart                                                                  | Dart       |         28 |          0 |          3 |         31 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\selected_location_map_contnet.dart                                                               | Dart       |         98 |         22 |          5 |        125 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\selected_location_section.dart                                                                   | Dart       |         71 |          0 |          2 |         73 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\transmission_mode_options.dart                                                                   | Dart       |         39 |          1 |          4 |         44 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\vehicle_health_button.dart                                                                       | Dart       |         67 |          0 |          4 |         71 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\vehicle_health_options.dart                                                                      | Dart       |         92 |          0 |          4 |         96 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\vehicle_images_section.dart                                                                      | Dart       |         46 |          0 |          6 |         52 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\vehicle_location_section.dart                                                                    | Dart       |         74 |          3 |          9 |         86 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\vehicle_pick_location_on_map_section.dart                                                        | Dart       |         97 |          0 |          4 |        101 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\vehicle_properites_section.dart                                                                  | Dart       |         52 |          0 |          3 |         55 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\new_vehicle\presentation\widgets\vehicle_rental_price_section.dart                                                                | Dart       |         62 |          0 |          4 |         66 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\views\notification_screen.dart                                                                          | Dart       |        107 |          0 |          4 |        111 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\accept_or_feedback_button.dart                                                                  | Dart       |         34 |          0 |          2 |         36 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\deny_button.dart                                                                                | Dart       |         36 |          0 |          2 |         38 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\notification_card.dart                                                                          | Dart       |         33 |          0 |          4 |         37 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\notification_card_content.dart                                                                  | Dart       |         45 |          0 |          4 |         49 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\notification_card_style.dart                                                                    | Dart       |         48 |          0 |          3 |         51 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\notification_text_with_time_ago.dart                                                            | Dart       |         56 |          0 |          4 |         60 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\notification\presentation\widgets\section_header.dart                                                                             | Dart       |         41 |          0 |          4 |         45 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\views\onboarding_view.dart                                                                                | Dart       |         98 |          0 |          5 |        103 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\widgets\custom_page_view.dart                                                                             | Dart       |         51 |          0 |          4 |         55 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\widgets\next_and_back_button_widget.dart                                                                  | Dart       |         30 |          0 |          3 |         33 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\widgets\start_now_widget.dart                                                                             | Dart       |         46 |          0 |          4 |         50 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\data\car_model.dart                                                                                                       | Dart       |         14 |          0 |          2 |         16 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\data\profile_model.dart                                                                                                   | Dart       |         12 |          0 |          2 |         14 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\views\profile_screen.dart                                                                                    | Dart       |        112 |          0 |          7 |        119 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\car_item_widget.dart                                                                                 | Dart       |        147 |          0 |          6 |        153 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\custom_elevated_button.dart                                                                          | Dart       |         33 |          0 |          4 |         37 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\profile_tabs.dart                                                                                    | Dart       |         96 |          0 |         10 |        106 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\profile_widget.dart                                                                                  | Dart       |         33 |          0 |          4 |         37 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\tab_button.dart                                                                                      | Dart       |         44 |          0 |          5 |         49 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\data\cubit\logout_cubit.dart                                                                                             | Dart       |         38 |          0 |          6 |         44 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\data\cubit\logout_state.dart                                                                                             | Dart       |         20 |          0 |         10 |         30 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\views\settings_screen.dart                                                                                  | Dart       |         52 |          0 |          3 |         55 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\arrow_forward_icon_button.dart                                                                      | Dart       |         19 |          0 |          3 |         22 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\contact_us_card.dart                                                                                | Dart       |         46 |          0 |          4 |         50 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\custom_card_settings_page.dart                                                                      | Dart       |         53 |          0 |          3 |         56 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\dark_mode_card.dart                                                                                 | Dart       |         40 |          0 |          3 |         43 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\dark_mode_switch.dart                                                                               | Dart       |         48 |          0 |          3 |         51 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\help_center_card.dart                                                                               | Dart       |         41 |          0 |          4 |         45 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\image_with_name_and_email_section.dart                                                              | Dart       |         28 |          0 |          3 |         31 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\language_card.dart                                                                                  | Dart       |         40 |          0 |          4 |         44 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\language_switch.dart                                                                                | Dart       |         40 |          0 |          3 |         43 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\logout_card.dart                                                                                    | Dart       |         80 |          0 |          4 |         84 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\name_and_email_section.dart                                                                         | Dart       |         23 |          0 |          4 |         27 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\notification_settings_card.dart                                                                     | Dart       |         41 |          0 |          4 |         45 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\payment_card.dart                                                                                   | Dart       |         41 |          0 |          4 |         45 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\personal_details_card.dart                                                                          | Dart       |         20 |          0 |          3 |         23 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\rent_history_card.dart                                                                              | Dart       |         41 |          0 |          4 |         45 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\settings_and_preferences_section.dart                                                               | Dart       |         36 |          0 |          4 |         40 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\support_section.dart                                                                                | Dart       |         33 |          0 |          4 |         37 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\views\about_tab_bar_view.dart                                                   | Dart       |         36 |          0 |          2 |         38 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\current_location_with_distance_section.dart                             | Dart       |         49 |          0 |          2 |         51 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\image_of_current_vehicle_location.dart                                  | Dart       |         59 |          1 |          6 |         66 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\location_section.dart                                                   | Dart       |         51 |          0 |          2 |         53 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\owner_image_section.dart                                                | Dart       |         39 |          0 |          3 |         42 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\owner_name_section.dart                                                 | Dart       |         33 |          0 |          2 |         35 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\rent_partner_section.dart                                               | Dart       |         51 |          0 |          2 |         53 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\views\properities_tab_bar_view.dart                                       | Dart       |         49 |          0 |          3 |         52 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\additional_image_gallery.dart                                     | Dart       |         28 |          0 |          3 |         31 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\color_and_seats_no_section.dart                                   | Dart       |         30 |          0 |          3 |         33 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\custom_container.dart                                             | Dart       |         43 |          0 |          3 |         46 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\custom_text_and_icon_section_addetinal_technical_information.dart | Dart       |         31 |          0 |          2 |         33 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\gallary_section.dart                                              | Dart       |         60 |          0 |          4 |         64 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\over_view_section.dart                                            | Dart       |         68 |          0 |          2 |         70 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\vehicle_health_with_status_container.dart                         | Dart       |         38 |          0 |          4 |         42 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\views\review_tab_bar_view.dart                                                 | Dart       |         36 |          0 |          4 |         40 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\amount_rating_level.dart                                               | Dart       |         12 |          0 |          3 |         15 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\rating_and_reviews_section.dart                                        | Dart       |         25 |          0 |          4 |         29 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\rating_four_stars.dart                                                 | Dart       |         39 |          0 |          4 |         43 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\rating_graph_section.dart                                              | Dart       |         29 |          0 |          4 |         33 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\rating_number_section.dart                                             | Dart       |         30 |          8 |          4 |         42 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\vehicles_details_view.dart                                                                    | Dart       |        132 |          1 |          2 |        135 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\bottom_navigation_bar_book_button.dart                                                      | Dart       |         42 |          0 |          2 |         44 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\bottom_navigation_bar_rental_price.dart                                                     | Dart       |         45 |          0 |          2 |         47 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\bottom_navigation_bar_section.dart                                                          | Dart       |         39 |          0 |          2 |         41 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\car_name_with_type_and_year_of_manifiction.dart                                             | Dart       |         54 |          0 |          2 |         56 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\custom_icon_button.dart                                                                     | Dart       |         52 |          0 |          2 |         54 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\custom_image_car.dart                                                                       | Dart       |         40 |          0 |          2 |         42 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\tab_bar_section.dart                                                                        | Dart       |        111 |          1 |          6 |        118 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\transmission_type_container.dart                                                            | Dart       |         34 |          0 |          4 |         38 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\main.dart                                                                                                                                  | Dart       |         99 |          0 |          5 |        104 |
| e:\Projects\P_Android_save\flutter project\aggar\linux\flutter\generated_plugin_registrant.cc                                                                                                   | C++        |         11 |          4 |          5 |         20 |
| e:\Projects\P_Android_save\flutter project\aggar\linux\flutter\generated_plugin_registrant.h                                                                                                    | C++        |          5 |          5 |          6 |         16 |
| e:\Projects\P_Android_save\flutter project\aggar\linux\main.cc                                                                                                                                  | C++        |          5 |          0 |          2 |          7 |
| e:\Projects\P_Android_save\flutter project\aggar\linux\my_application.cc                                                                                                                        | C++        |         82 |         17 |         26 |        125 |
| e:\Projects\P_Android_save\flutter project\aggar\linux\my_application.h                                                                                                                         | C++        |          7 |          7 |          5 |         19 |
| e:\Projects\P_Android_save\flutter project\aggar\macos\Flutter\GeneratedPluginRegistrant.swift                                                                                                  | Swift      |         16 |          3 |          4 |         23 |
| e:\Projects\P_Android_save\flutter project\aggar\macos\RunnerTests\RunnerTests.swift                                                                                                            | Swift      |          7 |          2 |          4 |         13 |
| e:\Projects\P_Android_save\flutter project\aggar\macos\Runner\AppDelegate.swift                                                                                                                 | Swift      |          8 |          0 |          2 |         10 |
| e:\Projects\P_Android_save\flutter project\aggar\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                                                                                  | JSON       |         68 |          0 |          1 |         69 |
| e:\Projects\P_Android_save\flutter project\aggar\macos\Runner\Base.lproj\MainMenu.xib                                                                                                           | XML        |        343 |          0 |          1 |        344 |
